stress,hapiness,attitude,sub_norm,control,intention,result
29,15,16,18,8,2,No
26,9,24,21,8,4,Yes
34,15,40,28,11,7,No
31,13,4,4,11,1,No
30,16,4,5,9,1,No
37,14,4,15,15,1,Yes
27,13,18,7,12,3,No
26,15,20,6,9,2,No
31,10,50,31,11,5,No
31,18,9,15,13,1,No
33,12,37,16,10,1,No
31,11,11,3,9,1,No
23,19,16,6,12,1,No
29,12,4,49,3,2,Yes
31,12,40,24,8,5,No
37,6,64,8,11,6,Yes
24,8,11,10,10,2,No
32,9,23,14,13,2,Yes
26,15,33,18,9,2,No
25,16,16,29,12,1,No
25,12,27,3,11,4,No
32,13,4,10,11,1,No
34,15,52,16,12,4,No
32,13,10,16,13,2,No
37,15,7,21,3,3,No
30,14,32,30,8,6,No
35,12,36,21,9,3,No
28,9,4,3,5,1,No
27,18,100,27,12,2,Yes
32,12,4,3,14,1,No
33,12,14,8,11,1,No
32,14,4,7,11,1,No
33,12,27,9,12,3,No
28,15,4,3,11,1,No
21,14,4,6,12,2,No
30,10,13,32,7,2,Yes
35,7,47,10,11,4,Yes
36,13,7,14,14,1,Yes
28,9,23,18,9,3,Yes
33,7,49,12,9,5,Yes
28,14,71,22,12,2,Yes
36,6,62,8,10,5,Yes
35,13,4,19,13,1,Yes
28,17,87,25,12,1,Yes
33,8,35,27,7,4,Yes
36,13,7,14,14,1,Yes
37,10,32,11,13,3,Yes
26,15,75,25,10,2,Yes
35,6,52,9,11,4,Yes
30,11,15,18,10,2,Yes
29,13,64,20,12,2,Yes
28,15,81,23,12,2,Yes
29,11,6,45,4,2,Yes
26,13,64,24,10,2,Yes
28,9,20,19,9,3,Yes
28,10,18,19,9,3,Yes
35,13,4,22,12,1,Yes
32,8,28,13,12,2,Yes
33,9,29,14,9,6,Yes
28,11,30,42,4,1,Yes
23,12,9,24,9,3,Yes
29,12,10,24,4,2,Yes
30,9,26,48,12,6,No
28,13,80,26,8,1,Yes
36,17,56,18,5,1,No
27,6,93,47,4,3,No
21,8,91,10,4,3,No
22,9,94,44,14,4,No
24,11,53,25,10,4,Yes
35,18,71,47,9,1,No
35,17,45,45,14,5,No
33,14,77,16,13,6,No
32,13,59,6,5,4,No
27,18,25,19,3,6,No
22,6,31,15,4,4,No
21,15,38,19,7,4,No
26,18,88,45,4,3,No
28,13,5,35,4,2,Yes
26,15,83,43,7,4,No
23,17,45,27,10,5,No
34,9,8,9,4,2,Yes
26,8,17,29,7,4,Yes
35,9,87,15,12,1,Yes
35,18,83,27,11,3,No
33,14,67,27,11,2,No
26,9,81,33,12,2,Yes
34,8,58,38,4,5,No
21,15,29,26,12,1,No
24,8,6,43,4,5,Yes
22,6,31,23,14,5,Yes
21,16,47,5,6,6,No
28,7,77,42,8,5,No
32,9,59,38,11,3,No
35,10,30,12,4,3,Yes
33,15,54,45,13,1,No
28,7,52,22,12,1,Yes
28,7,92,32,3,3,No
36,17,16,12,11,4,No
24,6,59,48,9,4,No
28,14,32,3,7,6,No
36,18,53,43,13,6,No
21,9,67,37,6,2,Yes
33,15,41,20,8,4,No
22,12,60,34,9,3,Yes
31,12,8,15,7,2,Yes
29,16,6,27,10,6,No
33,6,50,44,11,6,No
27,6,78,45,4,6,No
28,9,91,28,8,1,Yes
34,12,78,28,3,3,No
22,8,81,22,10,5,Yes
21,18,22,35,13,4,No
28,11,90,48,4,5,No
27,17,63,44,4,3,No
36,10,77,35,14,2,No
30,18,42,6,11,3,No
33,7,67,5,14,4,Yes
28,6,15,17,8,6,Yes
31,12,24,15,7,6,No
25,15,51,27,9,2,Yes
32,6,17,11,11,1,Yes
33,15,34,34,8,6,No
25,15,59,26,10,6,No
24,11,53,6,14,1,No
33,14,59,43,5,6,No
24,11,47,44,14,3,No
31,13,73,28,13,5,No
26,15,23,42,12,2,No
21,13,9,36,4,1,Yes
29,11,37,15,5,6,No
23,18,23,44,14,6,No
36,18,20,15,11,4,No
29,18,54,39,3,6,No
34,17,44,19,5,5,No
21,9,6,4,11,2,No
30,8,15,8,4,5,Yes
32,14,16,17,3,6,No
35,11,82,41,3,3,No
29,12,86,9,5,4,No
31,14,50,18,5,1,No
34,9,63,22,13,1,Yes
27,7,70,38,13,3,No
28,16,73,10,11,2,No
22,17,13,33,8,3,No
33,17,53,35,13,5,No
35,17,62,39,11,5,No
24,16,35,17,7,6,No
34,6,65,44,6,3,No
30,18,95,4,12,5,No
31,15,97,41,9,5,No
26,12,38,7,13,4,No
25,7,24,46,5,6,Yes
26,12,60,18,12,6,No
27,15,77,8,3,2,No
27,6,20,36,6,3,Yes
21,11,88,24,4,3,Yes
32,16,57,46,7,6,No
